community,county,tier,url (unchanged),fallback shown on site
Avenir - Lennar Communities,Palm Beach,new construction,https://www.paradiserealtyfla.com/palm-beach-county/avenir-lennar-communities/,https://www.paradiserealtyfla.com/palm-beach-county/
Hampton Park Signature,Indian River,new construction,https://www.paradiserealtyfla.com/hampton-park-vero-beach,https://www.paradiserealtyfla.com/indian-river-county/
Lakeside at Satilla,Osceola,new construction,https://www.paradiserealtyfla.com/lake-county/lakeside-at-satilla-saint-cloud/,https://www.paradiserealtyfla.com/osceola-county/
Lakeside at Satilla,Lake,new construction,https://www.paradiserealtyfla.com/lake-county/lakeside-at-satilla-saint-cloud/,https://www.paradiserealtyfla.com/lake-county/
Lost Tree Preserve,Indian River,new construction,https://www.paradiserealtyfla.com/indian-river-county/lost-tree-preserve-vero-beach/,https://www.paradiserealtyfla.com/indian-river-county/
Palm Coast,Flagler,new construction,https://www.paradiserealtyfla.com/flagler-county/palm-coast-palm-coast/,https://www.paradiserealtyfla.com/flagler-county/
Palm Coast,Miami-Dade,new construction,https://www.paradiserealtyfla.com/miami-dade-county/palm-coast-palm-coast/,https://www.paradiserealtyfla.com/miami-dade-county/
Parkside Trails,Lake,new construction,https://www.paradiserealtyfla.com/lake-county/parkside-trails-clermont/,https://www.paradiserealtyfla.com/lake-county/
Parkside Trails,Orange,new construction,https://www.paradiserealtyfla.com/orange-county/parkside-trails-clermont/,https://www.paradiserealtyfla.com/orange-county/
Port St. Lucie Spot Lots,St. Lucie,new construction,https://www.paradiserealtyfla.com/st-lucie-county/port-st-lucie-spot-lots/,https://www.paradiserealtyfla.com/st-lucie-county/
Retreat at Town Center - Reef Collection,Suwannee,new construction,https://www.paradiserealtyfla.com/suwannee-county/retreat-at-town-center-reef-collection-palm-coast/,https://www.paradiserealtyfla.com/suwannee-county/
Retreat at Town Center - Villa Collection,Suwannee,new construction,https://www.paradiserealtyfla.com/suwannee-county/retreat-at-town-center-villa-collection-palm-coast/,https://www.paradiserealtyfla.com/suwannee-county/
Sawgrass Lakes at Babcock Ranch,Lee,new construction,https://www.paradiserealtyfla.com/lee-county/sawgrass-lakes-at-babcock-ranch-babcock-ranch/,https://www.paradiserealtyfla.com/lee-county/
Seminole Palms,Flagler,new construction,https://www.paradiserealtyfla.com/indian-river-county/seminole-palms-vero-beach/,https://www.paradiserealtyfla.com/flagler-county/
Seminole Palms,Indian River,new construction,https://www.paradiserealtyfla.com/indian-river-county/seminole-palms-vero-beach/,https://www.paradiserealtyfla.com/indian-river-county/
Skyview at Wilton Manors,Broward,new construction,https://www.paradiserealtyfla.com/broward-county/skyview-at-wilton-manors/,https://www.paradiserealtyfla.com/broward-county/
South Shore Yacht Club,Hillsborough,new construction,https://www.paradiserealtyfla.com/hillsborough-county/south-shore-yacht-club-apollo-beach/,https://www.paradiserealtyfla.com/hillsborough-county/
The Estates @ NOMAR,Palm Beach,new construction,https://www.paradiserealtyfla.com/palm-beach-county/the-estates-nomar/,https://www.paradiserealtyfla.com/palm-beach-county/
