name,facet_label,url
St Johns, ,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/-/
St Johns,Homes with Water View,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Water-View/
St Johns,Homes with 165 x 300 Lot dimensions,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-165-x-300-Lot-dimensions/
St Johns,Homes with Shoreline   Sand Waterfront Description,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Shoreline---Sand-Waterfront-Description/
St Johns,Homes with Ocean Front Waterfront Description,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Ocean-Front-Waterfront-Description/
St Johns,Homes with Other Waterfront Description,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Other-Waterfront-Description/
St Johns,Homes with 165 Lot dimensions,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-165-Lot-dimensions/
St Johns,Homes with Beach View,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Beach-View/
St Johns,Homes for Sale,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-for-Sale/
St Johns,Homes with 160X100 Lot dimensions,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-160X100-Lot-dimensions/
St Johns,Homes with Balcony Exterior Features,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Balcony-Exterior-Features/
St Johns,Homes with Ocean View,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Ocean-View/
St Johns,Homes with Sidewalks Community Features,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Sidewalks-Community-Features/
St Johns,Homes with None Waterfront Description,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-None-Waterfront-Description/
St Johns,Homes with Shingle Roof,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Shingle-Roof/
St Johns,Homes with Composition Roof,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Composition-Roof/
St Johns,Homes with Garden View,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Garden-View/
St Johns,Homes with Aluminum Roof,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Aluminum-Roof/
St Johns,Homes with Street Lights Community Features,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Street-Lights-Community-Features/
St Johns,Homes with 49500 Lot dimensions,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-49500-Lot-dimensions/
St Johns,Homes with Room For Pool Exterior Features,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Room-For-Pool-Exterior-Features/
St Johns,Homes with River View,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-River-View/
St Johns,Homes with .24 Lot dimensions,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-.24-Lot-dimensions/
St Johns,Homes with Wood Roof,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Wood-Roof/
St Johns,Homes with Outdoor Shower Exterior Features,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Outdoor-Shower-Exterior-Features/
St Johns,Land for Sale,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Land-for-Sale/
St Johns,Homes with City View,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-City-View/
St Johns,Homes with 40500 Lot dimensions,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-40500-Lot-dimensions/
St Johns,Homes with Pond Waterfront Description,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Pond-Waterfront-Description/
St Johns,"Homes with 49,500 sqft Lot dimensions","https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-49,500-sqft-Lot-dimensions/"
St Johns,Homes with Other View,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Other-View/
St Johns,Homes with Common Areas Hoa fee includes,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Common-Areas-Hoa-fee-includes/
St Johns,Homes with Home Owners Association Community Features,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Home-Owners-Association-Community-Features/
St Johns,Homes with Outdoor Living Area Exterior Features,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Outdoor-Living-Area-Exterior-Features/
St Johns,Homes with Preserve View,https://www.paradiserealtyfla.com/listings/county_mls/St-Johns/Homes-with-Preserve-View/
